gene_list,time
spoT,500
pykF,1000
spoT,1000
mrdA,1500
ECB_01413,1500
pykF,1500
yeaU,1500
pdxB,1500
spoT,1500
mrdA,2000
ECB_01413,2000
pykF,2000
spoT,2000
iclR,2000
pykF,5000
infC,5000
ECB_01992,5000
hcaD,5000
garR,5000
mreB,5000
spoT,5000
trkH,5000
hslU,5000
thrA,10000
thiI,10000
ybaE,10000
sapF,10000
pykF,10000
infC,10000
ECB_01992,10000
infB,10000
mreB,10000
yhdG,10000
spoT,10000
ECB_03722,10000
hslU,10000
iclR,10000
nadR,10000
yjjY,10000
thrA,15000
thiI,15000
ybaE,15000
lysQ,15000
sapF,15000
pykF,15000
infC,15000
ECB_02816,15000
infB,15000
mreB,15000
yhdG,15000
spoT,15000
ECB_03722,15000
hslU,15000
nudC,15000
iclR,15000
yjcE,15000
nadR,15000
yjjY,15000
thrA,20000
phoR,20000
thiI,20000
ybaE,20000
lysQ,20000
dps,20000
sapF,20000
pykF,20000
infC,20000
pbpC,20000
iap,20000
ECB_02816,20000
ECB_02826,20000
infB,20000
mreB,20000
yhdG,20000
spoT,20000
ECB_03722,20000
hslU,20000
nudC,20000
iclR,20000
yjcE,20000
ecnB,20000
uxuA,20000
nadR,20000
yjjY,20000
thrA,30000
phoR,30000
thiI,30000
ybaE,30000
lysQ,30000
aroG,30000
sapF,30000
pykF,30000
infC,30000
atoC,30000
pbpC,30000
iap,30000
ECB_02816,30000
infB,30000
degS,30000
mreB,30000
yhdG,30000
envZ,30000
spoT,30000
metR,30000
ECB_03722,30000
hslU,30000
nudC,30000
iclR,30000
yjcE,30000
nadR,30000
yjjY,30000
thrA,40000
mhpR,40000
phoR,40000
thiI,40000
cyoB,40000
ybaE,40000
lysQ,40000
aroG,40000
sapF,40000
pykF,40000
infC,40000
pbpC,40000
iap,40000
ECB_02816,40000
ECB_02854,40000
infB,40000
gltB,40000
degS,40000
mreB,40000
yhdG,40000
envZ,40000
spoT,40000
metR,40000
ECB_03722,40000
hslU,40000
nudC,40000
iclR,40000
yjcE,40000
hsdS,40000
nadR,40000
arcA,40000
yjjY,40000
thrA,50000
yabB,50000
yadG,50000
yadH,50000
mhpR,50000
phoR,50000
thiI,50000
cyoB,50000
ybaE,50000
lysQ,50000
aroG,50000
sapF,50000
ydhH,50000
pykF,50000
infC,50000
pbpC,50000
iap,50000
ECB_02816,50000
infB,50000
hflB,50000
gltB,50000
degS,50000
mreB,50000
yhdG,50000
envZ,50000
spoT,50000
metR,50000
ECB_03722,50000
hslU,50000
nudC,50000
iclR,50000
yjcE,50000
hflC,50000
hsdS,50000
nadR,50000
arcA,50000
yjjY,50000
